con_id,con_abbr,con_name,CCF_classification,CCF_category,CORE_classification
4612EACA,ICST,"International Conference on Software Testing, Verification, and Validation",C,4.0,C
4637EEEA,STACS,Symposium on Theoretical Aspects of Computer Science,C,6.0,B
469A7426,LATA,Language and Automata Theory and Applications,X,X,C
46CDFBC4,DAC,Design Automation Conference,B,1.0,A
475887BB,ENTER,Information and Communication Technologies in Tourism,X,X,C
42B837D2,CEAS,Conference on Email and Anti-Spam,X,X,B
435D23B8,SODA,Symposium on Discrete Algorithms,B,6.0,A*
438FC436,ICDCIT,International Conference on Distributed Computing and Internet Technology,X,X,C
44CCF851,DAS,Document Analysis Systems,X,X,B
44DA6608,RuleML,Rules and Rule Markup Languages for the Semantic Web,X,X,B
4549948F,CAV,Computer Aided Verification,B,6.0,A*
47188EEA,CRiSIS,Conference on Risks and Security of Internet and Systems,X,X,C
475B8292,PACCS,"Pacific-Asia Conference on Circuits, Communications and Systems",X,X,L
47A17F8A,C5,"Conference on Creating, Connecting and Collaborating through Computing",X,X,C
47A7A7E0,ISMAR,International Symposium on Mixed and Augmented Reality,C,7.0,A*
43584039,EGPGV,Eurographics Workshop on Parallel Graphics and Visualization,X,X,B
43CD1EFB,ADBIS,Advances in Databases and Information Systems,X,X,B
43F41A29,PODC,Principles of Distributed Computing,B,1.0,A*
43FD6777,ISMB,Intelligent Systems in Molecular Biology,B,10.0,A
44F1BEFF,IAAI,Innovative Applications of Artificial Intelligence,X,X,B
45466C92,PPAM,Parallel Processing and Applied Mathematics,X,X,C
45D96940,CANS,Cryptology and Network Security,X,X,B
460D43CF,CISS,Conference on Information Sciences and Systems,X,X,C
4665AEAE,FSKD,Fuzzy Systems and Knowledge Discovery,X,X,C
469BDC4B,MobiSys,"International Conference on Mobile Systems, Applications, and Services",B,2.0,B
46C698EA,DocEng,Document Engineering,X,X,B
4708B833,IPDPS,International Parallel and Distributed Processing Symposium,B,1.0,A
4714F2C6,ICAIS,International Conference on Adaptive and Intelligent Systems,X,X,C
42F91B89,MMM,Conference on Multimedia Modeling,C,7.0,C
4309C535,ICWSM,International Conference on Weblogs and Social Media,X,X,Unranked
43F539F1,ArtsIT,Arts and Technology,X,X,C
452BB0BA,ProvSec,Provable Security,X,X,B
4542EB6A,CCC,Conference on Computational Complexity,B,6.0,A
45462B39,EMSOFT,Embedded Software,B,10.0,A
4673EE2C,ICECCS,International Conference on Engineering of Complex Computer Systems,C,4.0,A
468C0299,ICONIP,International Conference on Neural Information Processing,C,8.0,A
46D76472,ISM,International Symposium on Multimedia,X,X,C
47796128,CIBCB,Computational Intelligence in Bioinformatics and Computational Biology,X,X,C
47796128,CIBCB,Computational Intelligence in Bioinformatics and Computational Biology,X,X,C
43701CEE,GLOBECOM,Global Communications Conference,C,2.0,B
43837677,SGP,Symposium on Geometry Processing,B,7.0,B
443F9CFF,VR,IEEE Virtual Reality Conference,X,X,A
4492538C,NSS,Network and System Security,X,X,B
44B587D1,ISITA,International Symposium on Information Theory and its Applications,X,X,B
44C78644,IPCCC,"International Performance, Computing, and Communications Conference",C,2.0,B
456FEF09,LREC,Language Resources and Evaluation,X,X,C
45C0AEF7,ICDSC,International Conference on Distributed Smart Cameras,X,X,B
46F58A2E,MIR,Multimedia Information Retrieval,X,X,B
47B86F47,ICDS,International Conference on the Digital Society,X,X,C
42BD758D,CAINE,Computer Applications in Industry and Engineering,X,X,C
42F4F2CC,MOBICOM,ACM/IEEE International Conference on Mobile Computing and Networking,A,2.0,A*
439E313A,CADE,Conference on Automated Deduction,B,6.0,A
43C40A80,COCOON,Computing and Combinatorics Conference,X,X,A
43F44683,APWeb,Asia-Pacific Web Conference,C,5.0,B
457DC158,CIC,Color Imaging Conference,X,X,C
45848F1A,UIST,User Interface Software and Technology,B,9.0,A
458DD1E0,ICIG,International Conference on Image and Graphics,X,X,C
45F753AE,HASE,High-Assurance Systems Engineering,X,X,B
47B178E5,ISAS,International Service Availability Symposium,X,X,C
431CE69C,ISCIS,International Symposium on Computer and Information Sciences,X,X,C
43727C0E,ICANNGA,International Conference on Adaptive and Natural Computing Algorithms,X,X,C
43904F00,WSCG,International Conference in Central Europe on Computer Graphics and Visualization,X,X,B
449C9FDE,ICEBE,International Conference on e-Business Engineering,X,X,B
45DA1F87,FCCM,Field-Programmable Custom Computing Machines,C,1.0,A
465A87B2,ECSA,European Conference on Software Architecture,X,X,A
467CEB8F,SIN,Security of Information and Networks,X,X,C
4690296A,TABLEAUX,Theorem Proving with Analytic Tableaux and Related Methods,X,X,A
47765112,CASES,"Compilers, Architecture, and Synthesis for Embedded Systems",C,1.0,A
47CD5392,ICADL,International Conference on Asian Digital Libraries,X,X,A
4398864E,CAiSE,Conference on Advanced Information Systems Engineering,B,4.0,A
43B0793E,SRDS,Symposium on Reliable Distributed Systems,B,3.0,A
43B11EF5,SKG,"Semantics, Knowledge and Grid",X,X,C
43FD776C,SIGIR,International ACM SIGIR Conference on Research and Development in Information Retrieval,A,5.0,A*
442F440A,PSIVT,Pacific-Rim Symposium on Image and Video Technology,X,X,B
447B8E60,HPCC,High Performance Computing and Communications,C,1.0,B
44FBA995,MABS,Multi-Agent Systems and Agent-Based Simulation,X,X,C
454E0ED5,APCHI,Asia-Pacific Computer and Human Interaction,X,X,C
45B351F5,REFSQ,Requirements Engineering: Foundation for Software Quality,X,X,B
45DA765E,EUROBOT,International Conference on Research and Education in Robotics,X,X,C
45E116C3,AIED,Artificial Intelligence in Education,X,X,A
463BD859,PAKDD,Pacific-Asia Conference on Knowledge Discovery and Data Mining,C,5.0,A
46FC8289,FDL,Forum on specification and Design Languages,X,X,C
4777163F,PDCS,Parallel and Distributed Computing Systems (ISCA),X,X,C
47A9B8FE,ICGT,International Conference on Graph Transformation,X,X,B
42C0465A,SEAL,Simulated Evolution and Learning,X,X,B
43CF4565,CLOUD,International Conference on Cloud Computing,X,X,B
43FD084C,ICAIL,International Conference on Artificial Intelligence and Law,X,X,C
44616FF1,PPoPP,ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming,B,1.0,A
447B80D7,ASWEC,Australian Software Engineering Conference,X,X,Australasian
4499A295,MICRO,International Symposium on Microarchitecture,A,1.0,A
455B6732,S&P,IEEE Symposium on Security and Privacy,A,3.0,A*
466DD17F,WETICE,Workshops on Enabling Technologies: Infrastracture for Collaborative Enterprises,X,X,B
4718BF06,CPM,Combinatorial Pattern Matching,X,X,B
4743F3A5,WoLLIC,"Workshop on Logic, Language, Information and Computation",X,X,B
4773F002,CDC,Conference on Decision and Control,X,X,A
42C62517,CIT,Computer and Information Technology,X,X,C
42CF1BB8,CIARP,Iberoamerican Congress on Pattern Recognition,X,X,C
43DCE876,SenSys,International Conference on Embedded Networked Sensor Systems,B,2.0,A*
4484A15D,PEPM,Partial Evaluation and Semantic-Based Program Manipulation,C,4.0,B
44B16F02,EuroCG,European Workshop on Computational Geometry,X,X,C
459A9715,AST,Automation of Software Test,X,X,C
4672F3B6,MASS,Mobile Adhoc and Sensor Systems,C,2.0,B
46E57E89,VISSOFT,Visualizing Software for Understanding and Analysis,X,X,B
471F93FA,CIAC,International Conference on Algorithms and Complexity,X,X,C
4772219F,CIDM,Computational Intelligence and Data Mining,X,X,C
47B51FBD,ECRTS,Euromicro Conference on Real-Time Systems,X,X,A
4306948C,SIGCSE,Technical Symposium on Computer Science Education,X,X,A
43B17EAF,PDP,"Parallel, Distributed and Network-Based Processing",X,X,C
43C320E5,ESOP,European Symposium on Programming,X,X,A
43DFAE0A,OOPSLA,"Conference on Object-Oriented Programming Systems, Languages, and Applications",A,4.0,A*
447CF406,ECIS,European Conference on Information Systems,X,X,A
453F3F1D,IPSN,Information Processing in Sensor Networks,B,2.0,A*
453FBF5D,VAST,Visual Analytics Science and Technology,X,X,C
4554E150,GCC,Grid and Cooperative Computing,X,X,C
45F99F55,ICITS,International Conference on Information Theoretic Security,X,X,C
462744F4,VTC,Vehicular Technology Conference,X,X,B
465DCDBA,COMAD,Conference on Management of Data,X,X,B
466F15E7,SAGT,Algorithmic Game Theory,X,X,B
46E1AB3B,FCT,Fundamentals of Computation Theory,X,X,A
472461FB,DSOM,Distributed Systems: Operations and Management,X,X,B
4797C437,ECEG,European Conference On e-Government,X,X,C
8516B55A,EMBC,International Conference of the IEEE Engineering in Medicine and Biology Society,X,X,C
4361BD82,WICSA,Working IEEE/IFIP Conference on Software Architecture,X,X,A
437E7D49,IWPT,International Workshop/Conference on Parsing Technologies,X,X,B
43AEF2F9,Pervasive,International Conference on Pervasive Computing,X,X,A*
441CE122,SDM,SIAM International Conference on Data Mining,B,5.0,A
44B7D8B2,IRI,Information Reuse and Integration,X,X,C
44C5464F,BIBE,Bioinformatics and Bioengineering,X,X,C
45B09C45,ICER,International Computing Education Research Workshop,X,X,B
461C83ED,SEAA,Software Engineering and Advanced Applications,X,X,C
46E64AD9,NCA,Network Computing and Applications,X,X,A
470B05DE,ICCSA,International Conference on Computational Science and Its Applications,X,X,C
478794CB,WI,Web Intelligence,X,X,B
47CB8578,SCOPES,Software and Compilers for Embedded Systems,X,X,A
42D4CF15,ICTAC,International Colloquium on Theoretical Aspects of Computing,X,X,B
436312EA,RCIS,Research Challenges in Information Science,X,X,B
44087830,GPC,Grid and Pervasive Computing,X,X,C
447AFBD7,AAA-IDEA,Advanced Architectures and Algorithms for Internet Delivery and Applications,X,X,C
44B13001,SIGCOMM,ACM Special Interest Group on Data Communication,A,2.0,A*
44D4200D,UIC,Ubiquitous Intelligence and Computing,C,9.0,B
44D951AC,PIMRC,"Personal, Indoor and Mobile Radio Communications",X,X,B
45A0DDC1,ICARCV,"International Conference on Control, Automation, Robotics and Vision",X,X,A
45A87C40,WFLP,Workshop on Functional and Constraint Logic Programming,X,X,C
45CC165B,LICS,Logic in Computer Science,A,6.0,A*
45D8562E,AMCIS,Americas Conference on Information Systems,X,X,A
45FD9DD4,PRICAI,Pacific Rim International Conference on Artificial Intelligence,C,8.0,B
46D869D6,EACL,Conference of the European Chapter of the Association for Computational Linguistics,X,X,A
4742B309,TLDI,Types In Languages Design And Implementation,X,X,C
4744249D,SOFSEM,Conference on Current Trends in Theory and Practice of Informatics,X,X,B
430D9705,ISSTA,International Symposium on Software Testing and Analysis,B,4.0,A
4384C1D1,WALCOM,Workshop on Algorithms and Computation,X,X,C
43AFEC4B,EDOC,Enterprise Distributed Object Computing,X,X,B
43E2179B,SEA,Symposium on Experimental and Efficient Algorithms,X,X,B
44C16141,CRYPTO,International Cryptology Conference,A,3.0,A*
45563B9A,WCNC,Wireless Communications and Networking Conference,C,2.0,B
4651456C,CCGRID,Cluster Computing and the Grid,C,1.0,A
469324BE,IWSEC,International Workshop on Security,X,X,B
46A355BA,OSDI,Operating Systems Design and Implementation,A,4.0,A*
472C6E2D,CIKM,Conference on Information and Knowledge Management,B,5.0,A
473B0162,CSCW,Conference on Computer Supported Cooperative Work,B,9.0,A
42D98AA6,GPCE,Generative Programming and Component Engineering,X,X,B
4390334E,VLDB,Very Large Data Bases,A,5.0,A*
44BF411D,ICEE,International Conference on E-Business and E-Government,X,X,C
45266923,ACHI,Advances in Computer-Human Interaction,X,X,C
4556024C,Euro-Par,European Conference on Parallel Processing,C,1.0,A
45ED3638,FORTE,Formal Techniques for (Networked and) Distributed Systems,C,2.0,A
465EF934,MASCOTS,"Modeling, Analysis, and Simulation On Computer and Telecommunication Systems",C,1.0,A
46B774B0,CATA,Computers and Their Applications,X,X,C
470DE66B,TRIDENTCOM,Testbeds and Research Infrastructures for the DEvelopment of NeTworks and COMmunities,X,X,B
47167ADC,EMNLP,Empirical Methods in Natural Language Processing,B,8.0,A
47A8116F,MoMM,Advances in Mobile Multimedia,X,X,B
4332078E,PLDI,Programming Language Design and Implementation,A,4.0,A*
439F2D27,PCS,Picture Coding Symposium,X,X,C
43F3EBCF,PG,Pacific Conference on Computer Graphics and Applications,B,7.0,A
43F5AF1B,WKDD,Workshop on Knowledge Discovery and Data Mining,X,X,C
44913AA3,WSE,Symposium on Web Systems Evolution,X,X,C
4493E2DA,TMFCS,Theoretical and Mathematical Foundations of Computer Science,X,X,C
44A68539,ICEIS,International Conference on Enterprise Information Systems,X,X,C
45616195,PACIS,Pacific Asia Conference on Information Systems,X,X,A
4579BE85,SLE,Software Language Engineering,X,X,B
4585ADCE,SBAC-PAD,Symposium on Computer Architecture and High Performance Computing,X,X,B
45ECD72D,ENASE,International Conference on Evaluation of Novel Approaches to Software Engineering,X,X,B
466797C4,CollaborateCom,Collaborative Computing,X,X,C
433DEF3A,ICCAD,International Conference on Computer Aided Design,B,1.0,A
4399020E,ICSC,International Conference on Semantic Computing,X,X,B
44486FB2,CSMR,Conference on Software Maintenance and Reengineering,X,X,C
458DD604,INLG,International Conference on Natural Language Generation,X,X,B
45A88363,AAMAS,Adaptive Agents and Multi-Agents Systems,B,8.0,A*
45F09162,EuroSys,European Conference on Computer Systems,B,1.0,A
4603CA00,APCCM,Asia-Pacific Conference on Conceptual Modelling,X,X,B
4613D662,ISVC,International Symposium on Visual Computing,X,X,C
46DAB993,ACL,Meeting of the Association for Computational Linguistics,B,8.0,A*
47175205,MSWiM,Modeling Analysis and Simulation of Wireless and Mobile Systems,C,2.0,A
43750ABA,WCRE,Working Conference on Reverse Engineering,B,4.0,B
43A1990D,APSEC,Asia-Pacific Software Engineering Conference,C,4.0,B
444A182D,CONCUR,International Conference on Concurrency Theory,B,6.0,A
449D19CC,MobiHoc,Mobile Ad Hoc Networking and Computing,B,2.0,A
450351F9,Haskell,Symposium/Workshop on Haskell,X,X,C
4556567A,DLT,Developments in Language Theory,X,X,B
47B7ABEF,AICCSA,ACS/IEEE International Conference on Computer Systems and Applications,X,X,C
42BC7E41,ICCTA,International Conference on Computing: Theory and Applications,X,X,C
4341ED82,NLDB,Applications of Natural Language to Data Bases,X,X,C
435020A4,MICCAI,Medical Image Computing and Computer-Assisted Intervention,X,X,A
43613D12,SCCG,Spring Conference on Computer Graphics,X,X,C
44865A7C,WACV,Workshop on Applications of Computer Vision,X,X,A
449E1173,IVA,Intelligent Virtual Agents,X,X,B
4519AD8F,MPC,Mathematics of Program Construction,X,X,B
4565F956,DIMEA,Digital Interactive Media in Entertainment and Arts,X,X,B
457F1F48,CSL,Computer Science Logic,C,6.0,B
460AA0EE,ICETE,International Conference on E-Business and Telecommunication Networks,X,X,C
462601A7,ICAISC,International Conference on Artificial Intelligence and Soft Computing,X,X,C
476510B9,IOLTS,International On-Line Testing Symposium,X,X,C
47C2769F,ICTD,Information and Communication Technologies and Development,X,X,C
432E26DB,CHES,Cryptographic Hardware and Embedded Systems,B,3.0,C
433BF259,DaWaK,Data Warehousing and Knowledge Discovery,X,X,B
434C5E01,ITA,Information Theory and Applications,X,X,B
43765ED4,ACISP,Australasian Conference on Information Security and Privacy,C,3.0,Australasian
44359895,CAIP,Computer Analysis of Images and Patterns,X,X,B
44412635,XSym,International XML Database Symposium,X,X,C
4524B15F,POPL,Symposium on Principles of Programming Languages,A,4.0,A*
4539C0B4,ICFHR,International Conference on Frontiers in Handwriting Recognition,X,X,B
46142C30,ISAAC,International Symposium on Algorithms and Computation,C,6.0,A
462A34B5,ICALT,International Conference on Advanced Learning Technologies,X,X,B
46405877,GRID,Grid Computing,X,X,A
465B502B,ECSCW,European Conference on Computer Supported Cooperative Work,B,9.0,B
469D149A,DASFAA,Database Systems for Advanced Applications,B,5.0,A
430A5A1A,PPPJ,Principles and Practice of Programming in Java,X,X,C
433F90DB,IPMU,Information Processing and Management of Uncertainty,X,X,C
438FF714,LATIN,Latin American Symposium on Theoretical Informatics,X,X,B
44689F98,Inscrypt,Information Security and Cryptology,X,X,B
447034A1,VSMM,Virtual Systems and MultiMedia,X,X,B
448B966A,WADS,Workshop on Algorithms and Data Structures,X,X,B
4530AFC7,EISWT,Enterprise Information Systems and Web Technologies,X,X,C
45AAD458,EUMAS,European Workshop on Multi-Agent Systems,X,X,C
45F6A80D,SCN,Security and Cryptography for Networks,X,X,B
464F6958,SEC,Information Security,C,3.0,B
4678AD74,ICIAR,International Conference on Image Analysis and Recognition,X,X,C
470CB4A0,CSC,Conference on Scientific Computing,X,X,C
47405592,ACSAC,Annual Computer Security Applications Conference,B,3.0,A
42ECFC7D,JSSPP,Job Scheduling Strategies for Parallel Processing,X,X,B
43D159ED,PAM,Passive and Active Network Measurement,X,X,B
43E27A26,HPCS,High Performance Computing Systems and Applications,X,X,B
43F9E08E,IJCNN,International Joint Conference on Neural Network,C,8.0,A
44233F91,COMPSAC,Computer Software and Applications Conference,C,4.0,B
4454EDDD,TrustBus,Trust and Privacy in Digital Business,X,X,B
4484AC0E,ACG,Advances in Computer Games,X,X,C
44A907AC,AusDM,Australasian Data Mining Conference,X,X,Australasian
44E8D4B3,SSDBM,Statistical and Scientific Database Management,C,5.0,A
45238EAA,DCOSS,Distributed Computing in Sensor Systems,X,X,B
45BD7739,CSB,Computational Systems Bioinformatics,X,X,A
45FB3662,ASPLOS,Architectural Support for Programming Languages and Operating Systems,A,1.0,A*
46155D1D,IH,Information Hiding,X,X,C
461BAEE3,IJCAR,International Joint Conference on Automated Reasoning,X,X,A*
462A683B,ECOOP,European Conference on Object-Oriented Programming,B,4.0,A
47977D8C,ICLP,International Conference on Logic Programming,X,X,A
47977D8C,ICLP,International Conference on Logic Programming,X,X,A
43282CD8,IJCNLP,International Joint Conference on Natural Language Processing,X,X,B
43319DD4,NIPS,Neural Information Processing Systems,B,8.0,A*
436EE6FE,ISCA,International Symposium on Computer Architecture,A,1.0,A*
4397F0B8,MDM,Mobile Data Management,C,5.0,C
440F51B1,HPDC,High Performance Distributed Computing,B,1.0,A
4413E269,EuroGP,European Conference on Genetic Programming,X,X,B
4457D26B,PERSUASIVE,International Conference on Persuasive Technology,X,X,B
44A6E67D,PADS,Workshop on Parallel and Distributed Simulation,X,X,B
44F1AB80,ICNP,International Conference on Network Protocols,B,2.0,A
45563EAC,FQAS,Flexible Query Answering Systems,X,X,C
4566232D,SIGGRAPH,International Conference on Computer Graphics and Interactive Techniques,A,7.0,A*
4603A79F,ACCV,Asian Conference on Computer Vision,C,8.0,B
4651E4FA,VISAPP,International Conference on Computer Vision Theory and Applications,X,X,C
46549128,APNOMS,Asia-Pacific Network Operations and Management Symposium,X,X,C
46E0467E,CW,Cyberworlds,X,X,B
4799A10B,IDA,Intelligent Data Analysis,X,X,A
47C279F3,ECOWS,European Conference on Web Services,X,X,C
42BBC5C1,WABI,Workshop on Algorithms in Bioinformatics,X,X,B
444CACB9,VLSID,International Conference on VLSI Design,X,X,C
44F1E491,NOMS,Network Operations and Management Symposium,C,2.0,B
45878F67,ASE,Automated Software Engineering,B,4.0,A
45AAAE95,OZCHI,Australasian Computer-Human Interaction Conference,X,X,Australasian
45CEC493,SOSP,Symposium on Operating Systems Principles,A,4.0,A*
45F5DF42,AWIC,Atlantic Web Intelligence Conference,X,X,C
467F57A2,AIRS,Asia Information Retrieval Symposium,X,X,C
46B1CCD7,ITI,Information Technology Interfaces,X,X,C
46C99331,FASE,Fundamental Approaches to Software Engineering,X,X,B
470F8BDC,DBPL,Database Programming Languages,X,X,B
43AAC778,HPSR,High Performance Switching and Routing,X,X,C
43B6A1AD,CCNC,Consumer Communications and Networking Conference,X,X,B
43DB3338,IEA/AIE,Industrial and Engineering Applications of Artificial Intelligence and Expert Systems,X,X,C
451C38EE,SPAA,ACM Symposium on Parallel Algorithms and Architectures,B,1.0,A
45F4651A,CISIM,Computer Information Systems and Industrial Management Applications,X,X,C
460452E7,ISORC,International Symposium on Object/Component/Service-Oriented Real-Time Distributed Computing,X,X,C
462F772C,SPIRE,String Processing and Information Retrieval,X,X,B
46CA67CE,JURIX,International Conference on Legal Knowledge and Information Systems,X,X,C
4748E8C5,ICMS,International Congress on Mathematical Software,X,X,B
478E195D,APBC,Asia-Pacific Bioinformatics Conference,C,10.0,B
42BD0758,EuroPKI,European Public Key Infrastructure Workshop,X,X,B
439224DC,MCDM,Multiple Criteria Decision Making,X,X,C
43C08A77,ICS,International Conference on Supercomputing,B,1.0,A
443880FD,AIML,Advances in Modal Logic,X,X,A
446A89CA,CLADE,Challenges of Large Applications in Distributed Environments,X,X,C
44FA759F,AUIC,Australasian User Interface Conference,X,X,Australasian
45F650F9,SEKE,Software Engineering and Knowledge Engineering,C,4.0,B
46347866,SIGITE,Conference on Information Technology Education,X,X,C
46A7A69E,ICISP,International Conference on Image and Signal Processing,X,X,C
46C9E7AF,ACIVS,Advanced Concepts for Intelligent Vision Systems,X,X,B
46D5DA24,HotNets,Hot Topics in Networks,C,2.0,A
43331058,INTERACT,International Conference on Human-Computer Interaction,C,9.0,A
435EE3DA,SecureComm,Security and Privacy in Communication Networks,C,3.0,B
43A4E7DF,ENC,Mexican International Conference on Computer Science,X,X,C
43A8F3E1,IWQoS,International Workshop on Quality of Service,B,2.0,B
43B0EC38,ICICS,International Conference on Information and Communication Security,X,X,B
43DF0F6B,ICMLA,International Conference on Machine Learning and Applications,X,X,C
441DE433,FSR,Field and Service Robotics,X,X,A
44406FED,SAT,Theory and Applications of Satisfiability Testing,C,6.0,A
4459102E,PCM,Pacific Rim Conference on Multimedia,C,7.0,C
452D6964,IMC,Internet Measurement Conference,B,2.0,A
456A8673,IMS,Advanced Information Management and Service,X,X,C
465D33C1,ECIR,European Conference on Information Retrieval,C,5.0,B
46950273,SNPD,"Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing",X,X,C
4762CAF8,ISIT,International Symposium on Information Theory,X,X,B
4766A14B,AmI,Ambient Intelligence,X,X,C
47C1A70D,AISC,Artificial Intelligence and Symbolic Computation,X,X,Australasian
42F73407,FSTTCS,Foundations of Software Technology and Theoretical Computer Science,C,6.0,X
477202E3,BMVC,British Machine Vision Conference,C,8.0,X
432DDB7E,ETS,European Test Symposium,C,1.0,X
451BB32E,NOCS,Networks-on-Chips,C,1.0,X
44EA5E08,BIBM,Bioinformatics and Biomedicine,B,10.0,X
45E3CA1B,ICB,International Conference on Biometrics,C,8.0,X
4704764E,FPL,Field-Programmable Logic and Applications,C,1.0,X
46BFF4BF,ICCD,International Conference on Computer Design,B,1.0,X
457D471C,i3D,Interactive 3D Graphics and Games,B,7.0,X
45B9D64F,FM,Formal Methods,B,4.0,X
442F700A,SoCG,Symposium on Computational Geometry,B,6.0,X
42CCF5DE,ISLPED,International Symposium on Low Power Electronics and Design,C,1.0,X
46C2A057,DSN,Dependable Systems and Networks,B,3.0,X
42CCC198,HiPEAC,High Performance Embedded Architectures and Compilers,B,1.0,X
43C18390,FPGA,Field Programmable Gate Arrays,B,1.0,X
43D23988,ICCCN,International Conference on Computer Communications and Networks,C,2.0,X
46B686C3,CASA,Computer Animation and Social Agents,C,7.0,X
438A7779,WISEC,Wireless Network Security,C,3.0,X
45834231,FMCAD,Formal Methods in Computer-Aided Design,C,6.0,X
434A76CE,GLSVLSI,Great Lakes Symposium on VLSI,C,1.0,X
43D1CF2E,ASP-DAC,Asia and South Pacific Design Automation Conference,C,1.0,X
438DC8E7,ICFEM,International Conference on Formal Engineering Methods,C,4.0,X
478D1F3B,EGSR,Eurographics Symposium on Rendering Techniques,B,7.0,X
43D1DCC1,ANCS,Architectures for Networking and Communications Systems,C,2.0,X
471752F4,ISCAS,International Symposium on Circuits and Systems,C,1.0,X
43C2327D,DFRWS,Digital Forensic Research Workshop,C,3.0,X
460F9D66,ASSETS,Conference on Computers and Accessibility,C,9.0,X
435FBD28,FPT,Field-Programmable Technology,C,1.0,X
4532399F,ICSM,International Conference on Software Maintenance,B,4.0,X
4300CAC5,VTS,VLSI Test Symposium,C,1.0,X
454034E3,LISA,USENIX Large Installation Systems Administration Conference,B,1.0,X
456CDDD6,ISPD,International Symposium on Physical Design,C,1.0,X
